#DB_VERSION: 1,,,,,,,,,,,,,,,,,,,,
#No,Connection_ID,Tag,Describe,LOW,HI,Unit,Device_ID,Comment,Station_ID,List_No,TestValue,TotalOffset,Chassis,Slot,Channel,OverLower(/100%),OverUpper(/100%),OverDeadZone,OverSettings,Type
#,,,,,,,,,,,,,,,,,,,,
#YJ5_38,,,,,,,,,,,,,,,,,,,,
122,1,ZRCP025MD,LOOP1 FLOW,0,1,-,120,SIMHW_RPC,118,10860,0.6955969,0x1502a6c,4,5,16,0.1,0.1,0,4,
123,1,ZRCP026MD,LOOP1 FLOW,0,1,-,120,SIMHW_RPC,118,10880,0.6955969,0x1502a80,4,6,1,0.1,0.1,0,4,
124,1,ZRCP027MD,LOOP1 FLOW,0,1,-,120,SIMHW_RPC,118,10884,0.6955969,0x1502a84,4,6,2,0.1,0.1,0,4,
125,1,ZRCP037MP,RRA SUCTION LINE P,0,20,MPa,120,SIMHW_RPC,118,10888,15.57043,0x1502a88,4,6,3,0.1,0.1,0,4,
126,1,ZRCP039MP,RRA SUCTION LINE P,0,20,MPa,120,SIMHW_RPC,118,10892,15.57043,0x1502a8c,4,6,4,0.1,0.1,0,4,
127,1,ZRCP040MD,LOOP2 FLOW,0,1,-,120,SIMHW_RPC,118,10896,0.6954539,0x1502a90,4,6,5,0.1,0.1,0,4,
128,1,ZRCP041MD,LOOP2 FLOW,0,1,-,120,SIMHW_RPC,118,10900,0.6954539,0x1502a94,4,6,6,0.1,0.1,0,4,
129,1,ZRCP042MD,LOOP2 FLOW,0,1,-,120,SIMHW_RPC,118,10904,0.6954539,0x1502a98,4,6,7,0.1,0.1,0,4,
130,1,ZRCP052MD,LOOP3 FLOW,0,1,-,120,SIMHW_RPC,118,10908,0.6951201,0x1502a9c,4,6,8,0.1,0.1,0,4,
131,1,ZRCP053MD,LOOP3 FLOW,0,1,-,120,SIMHW_RPC,118,10912,0.6951201,0x1502aa0,4,6,9,0.1,0.1,0,4,
132,1,ZRCP054MD,LOOP3 FLOW,0,1,-,120,SIMHW_RPC,118,10916,0.6951201,0x1502aa4,4,6,10,0.1,0.1,0,4,
133,1,ZRCP070MM,RCP018VP DISPLACEMENT MEASUREMENT,0,17.5,mm,120,SIMHW_RPC,118,10920,5.799942,0x1502aa8,4,6,11,0.1,0.1,0,4,
134,1,ZRCP071MM,RCP018VP DISPLACEMENT MEASUREMENT,0,17.5,mm,120,SIMHW_RPC,118,10924,5.799942,0x1502aac,4,6,12,0.1,0.1,0,4,
135,1,ZRCP072MM,RCP019VP DISPL.MEAS.,0,17.5,mm,120,SIMHW_RPC,118,10928,5.799942,0x1502ab0,4,6,13,0.1,0.1,0,4,
136,1,ZRCP073MM,RCP021VP DISPLACEMENT MEASUREMENT,0,17.5,mm,120,SIMHW_RPC,118,10932,0.000233657,0x1502ab4,4,6,14,0.1,0.1,0,4,
137,1,ZRCP074MM,RCP021VP DISPLACEMENT MEASUREMENT,0,17.5,mm,120,SIMHW_RPC,118,10936,0.000233657,0x1502ab8,4,6,15,0.1,0.1,0,4,
138,1,ZRCP075MM,RCP022VP DISPL.MEAS.,0,17.5,mm,120,SIMHW_RPC,118,10940,0.000233657,0x1502abc,4,6,16,0.1,0.1,0,4,
139,1,ZRCP092MN,REACTOR VSL LVL-WR,-140,270,kPa,120,SIMHW_RPC,118,10960,135.7712,0x1502ad0,4,7,1,0.1,0.1,0,4,
140,1,ZRCP137MP,RRA SUCTION LINE P,0,20,MPa,120,SIMHW_RPC,118,10964,15.57043,0x1502ad4,4,7,2,0.1,0.1,0,4,
141,1,ZRCP139MP,RRA SUCTION LINE P,0,20,MPa,120,SIMHW_RPC,118,10968,15.57043,0x1502ad8,4,7,3,0.1,0.1,0,4,
142,1,ZRCP140MY,RCP001PO SPEED,0,1800,RPM,120,SIMHW_RPC,118,10972,1487.086,0x1502adc,4,7,4,0.1,0.1,0,4,
143,1,ZRCP240MY,RCP002PO SPEED,0,1800,RPM,120,SIMHW_RPC,118,10976,1486.657,0x1502ae0,4,7,5,0.1,0.1,0,4,
144,1,ZRCP340MY,RCP003PO SPEED,0,1800,RPM,120,SIMHW_RPC,118,10980,1486.657,0x1502ae4,4,7,6,0.1,0.1,0,4,
145,1,ZRCV011MN,RCV002BA LEVEL,0.8,2.15,m,120,SIMHW_RPC,118,10984,1.193735,0x1502ae8,4,7,7,0.1,0.1,0,4,
